code,parent,type,reconcilable,name,sequence
1000,,asset_cash,false,Petty cash,10
1010,,asset_cash,false,Current account — RWF,20
1020,,asset_cash,false,Fixed deposits placed for three months or less,30
1030,,asset_cash,false,Foreign currency account,40
1040,,asset_cash,false,Cash in transit — mobile money and card settlements,50
1100,,asset_receivable,true,Trade receivables,60
1110,,asset_current,false,Trade receivables — allowance for impairment,70
1120,,asset_current,false,Other receivables,80
1130,,asset_current,false,Amounts due from related companies,90
1140,,asset_current,false,Deposits paid,100
1150,,asset_current,false,VAT input tax,110
1155,,asset_current,true,VAT refundable by RRA — net of a filed return,120
1160,,asset_current,false,Advances to staff,130
1200,,asset_current,false,Inventories — goods for resale,140
1210,,asset_current,false,Inventories — raw materials,150
1220,,asset_current,false,Inventories — work in progress,160
1230,,asset_current,false,Inventories — finished goods,170
1300,,asset_current,false,Short-term investments,180
1350,,asset_current,false,Current tax recoverable,190
1400,,asset_prepayments,false,Prepayments,200
1410,,asset_prepayments,false,Accrued income,210
1600,,asset_fixed,false,Land and buildings — cost,220
1601,,asset_fixed,false,Land and buildings — accumulated depreciation,230
1610,,asset_fixed,false,Leasehold improvements — cost,240
1611,,asset_fixed,false,Leasehold improvements — accumulated depreciation,250
1620,,asset_fixed,false,Plant and machinery — cost,260
1621,,asset_fixed,false,Plant and machinery — accumulated depreciation,270
1630,,asset_fixed,false,Office equipment — cost,280
1631,,asset_fixed,false,Office equipment — accumulated depreciation,290
1640,,asset_fixed,false,Computers — cost,300
1641,,asset_fixed,false,Computers — accumulated depreciation,310
1650,,asset_fixed,false,Furniture and fittings — cost,320
1651,,asset_fixed,false,Furniture and fittings — accumulated depreciation,330
1660,,asset_fixed,false,Motor vehicles — cost,340
1661,,asset_fixed,false,Motor vehicles — accumulated depreciation,350
1670,,asset_fixed,false,Right-of-use assets — cost,360
1671,,asset_fixed,false,Right-of-use assets — accumulated depreciation,370
1700,,asset_non_current,false,Investment property,380
1750,,asset_fixed,false,Intangible assets — cost,390
1751,,asset_fixed,false,Intangible assets — accumulated amortisation,400
1760,,asset_fixed,false,Goodwill,410
1800,,asset_non_current,false,Investments in associates,420
1810,,asset_non_current,false,Investments in joint ventures,430
1830,,asset_non_current,false,Long-term financial assets,440
1840,,asset_non_current,false,Long-term deposits,450
1900,,asset_non_current,false,Deferred tax assets,460
2000,,liability_payable,true,Trade payables,470
2010,,liability_current,false,Accrued expenses,480
2020,,liability_current,false,Other payables,490
2030,,liability_current,false,Amounts due to related companies,500
2040,,liability_current,false,Deposits received from customers,510
